Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
Star Wars Ep. VII: The Force Awakens,Dec,18,2015,306,936.662225,2058.662225,1122
Jurassic World,Jun,12,2015,215,652.19801,1670.328025,1018.130015
The Avengers,May,4,2012,225,623.279547,1519.479547,896.2
Furious 7,Apr,3,2015,190,351.03291,1514.019071,1162.986161
Avengers: Age of Ultron,May,1,2015,250,459.005868,1404.705868,945.7
Harry Potter and the Deathly Hallows: Part II,Jul,15,2011,125,381.011219,1341.511219,960.5
Frozen,Nov,22,2013,150,400.738009,1274.23498,873.496971
Iron Man 3,May,3,2013,200,408.992272,1215.392272,806.4
Minions,Jul,10,2015,74,336.04577,1163.624481,827.578711
Captain America: Civil War,May,6,2016,250,408.084349,1151.684349,743.6
Transformers: Dark of the Moon,Jun,29,2011,195,352.390543,1123.790543,771.4
Skyfall,Nov,8,2012,200,304.360277,1110.526981,806.166704
Transformers: Age of Extinction,Jun,27,2014,210,245.439076,1104.039076,858.6
The Dark Knight Rises,Jul,20,2012,275,448.139099,1084.439099,636.3
Toy Story 3,Jun,18,2010,200,415.00488,1069.818229,654.813349
Pirates of the Caribbean: On Stranger Tides,May,20,2011,250,241.063875,1045.663875,804.6
Alice in Wonderland,Mar,5,2010,200,334.19111,1025.49111,691.3
Zootopia,Mar,4,2016,150,341.268248,1021.768248,680.5
The Hobbit: An Unexpected Journey,Dec,14,2012,250,303.003568,1017.003568,714
Finding Dory,Jun,17,2016,200,484.434568,985.234568,500.8
Despicable Me 2,Jul,3,2013,76,368.065385,974.873764,606.808379
The Jungle Book,Apr,15,2016,175,364.001123,963.901123,599.9
The Hobbit: The Desolation of Smaug,Dec,13,2013,250,258.366855,960.366855,702
Harry Potter and the Deathly Hallows: Part I,Nov,19,2010,125,295.983305,960.283305,664.3
The Hobbit: The Battle of the Five Armies,Dec,17,2014,250,255.119788,955.119788,700
Ice Age: Continental Drift,Jul,13,2012,95,161.321843,879.765137,718.443294
Spectre,Nov,6,2015,300,200.074175,879.620923,679.546748
Batman v Superman: Dawn of Justice,Mar,25,2016,250,330.360194,868.160194,537.8
The Hunger Games: Catching Fire,Nov,22,2013,130,424.668047,864.868047,440.2
Inside Out,Jun,19,2015,175,356.461711,853.923085,497.461374
The Secret Life of Pets,Jul,8,2016,75,365.048935,833.848935,468.8
Inception,Jul,16,2010,160,292.576195,832.584416,540.008221
"The Twilight Saga: Breaking Dawn, Part 2",Nov,16,2012,136.2,292.324737,829.724737,537.4
Fast and Furious 6,May,24,2013,160,238.67985,789.952811,551.272961
Deadpool,Feb,12,2016,58,363.070709,783.770709,420.7
Guardians of the Galaxy,Aug,1,2014,170,333.172112,771.172112,438
The Hunger Games: Mockingjay - Part 1,Nov,21,2014,125,337.135885,766.652288,429.516403
Maleficent,May,30,2014,180,241.407328,758.536735,517.129407
The Amazing Spider-Man,Jul,3,2012,220,262.030663,757.890267,495.859604
Shrek Forever After,May,21,2010,165,238.736787,756.244673,517.507886
X-Men: Days of Future Past,May,23,2014,200,233.921534,747.862775,513.941241
Madagascar 3: Europe's Most Wanted,Jun,8,2012,145,216.391482,746.921271,530.529789
Monsters University,Jun,21,2013,200,268.488329,743.588329,475.1
Suicide Squad,Aug,5,2016,175,321.423924,735.023924,413.6
Gravity,Oct,4,2013,110,274.092705,716.392705,442.3
Captain America: The Winter Soldier,Apr,4,2014,170,259.746958,714.401889,454.654931
The Amazing Spider-Man 2,May,2,2014,200,202.853933,708.996336,506.142403
The Twilight Saga: Eclipse,Jun,30,2010,68,300.531751,706.102828,405.571077
Dawn of the Planet of the Apes,Jul,11,2014,170,208.545589,703.545589,495
Mission: Impossible - Rogue Nation,Jul,31,2015,150,195.042377,700.868363,505.825986
Mission: Impossible—Ghost Protocol,Dec,16,2011,145,209.397903,694.71323,485.315327
"The Twilight Saga: Breaking Dawn, Part 1",Nov,18,2011,127.5,281.287133,689.420051,408.132918
The Hunger Games,Mar,23,2012,80,408.010692,677.923379,269.912687
Man of Steel,Jun,14,2013,225,291.045518,667.999518,376.954
Interstellar,Nov,5,2014,165,188.017894,665.417894,477.4
Kung Fu Panda 2,May,26,2011,150,165.249063,664.837547,499.588484
Men in Black 3,May,25,2012,215,179.020854,654.213485,475.192631
Big Hero 6,Nov,7,2014,165,222.527828,652.127828,429.6
The Hunger Games: Mockingjay - Part 2,Nov,20,2015,160,281.723902,650.523427,368.799525
Thor: The Dark World,Nov,8,2013,150,206.36214,644.602516,438.240376
The Martian,Oct,2,2015,108,228.433663,640.055863,411.6222
Fast Five,Apr,29,2011,125,209.837675,629.969804,420.132129
Iron Man 2,May,7,2010,170,312.433331,623.561331,311.128
How to Train Your Dragon 2,Jun,13,2014,145,177.002924,616.102924,439.1
Life of Pi,Nov,21,2012,120,124.987022,607.987022,483
Tangled,Nov,24,2010,260,200.821936,586.581936,385.76
The Hangover Part II,May,26,2011,80,254.464305,586.464305,332
The Croods,Oct,1,2012,135,187.168425,573.068425,385.9
Fifty Shades of Grey,Feb,13,2015,40,166.16723,570.97847,404.81124
The Smurfs,Jul,29,2011,110,142.614158,563.749323,421.135165
Cars 2,Jun,24,2011,200,191.450875,560.155383,368.704508
Ted,Jun,29,2012,50,218.66574,556.016627,337.350887
Puss in Boots,Oct,28,2011,130,149.260504,554.987477,405.726973
Brave,Jun,22,2012,185,237.282182,554.606532,317.32435
Mei Ren Yu,Feb,19,2016,60.72,3.229457,552.198479,548.969022
American Sniper,Dec,25,2014,58,350.126372,547.326372,197.2
Despicable Me,Jul,9,2010,69,251.513985,543.495033,291.981048
X-Men: Apocalypse,May,27,2016,178,155.442489,542.742489,387.3
Sherlock Holmes: A Game of Shadows,Dec,16,2011,125,186.848418,535.663443,348.815025
Cinderella,Mar,13,2015,95,201.151353,534.551353,333.4
The Revenant,Dec,25,2015,135,183.637894,532.950503,349.312609
World War Z,Jun,21,2013,190,202.359711,531.51465,329.154939
Godzilla,May,16,2014,160,200.676069,529.076069,328.4
Kung Fu Panda 3,Jan,29,2016,140,143.528619,518.628619,375.1
Ant-Man,Jul,17,2015,130,180.202163,518.602163,338.4
Wreck-It Ralph,Nov,2,2012,165,189.412677,496.511521,307.098844
How to Train Your Dragon,Mar,26,2010,165,217.581231,494.870991,277.28976
Rio 2,Apr,11,2014,130,131.538435,493.738435,362.2
Clash of the Titans,Apr,1,2010,125,163.214888,493.214888,330
Oz the Great and Powerful,Mar,8,2013,200,234.770996,490.359051,255.588055
Rio,Apr,15,2011,90,143.619809,487.519809,343.9
Teenage Mutant Ninja Turtles,Aug,8,2014,125,191.204754,485.004754,293.8
Les Intouchables,May,25,2012,10.8,13.182281,484.873045,471.690764
Rise of the Planet of the Apes,Aug,5,2011,93,176.760185,482.860185,306.1
Hotel Transylvania 2,Sep,25,2015,80,169.70011,470.909901,301.209791
San Andreas,May,29,2015,110,155.190832,469.590832,314.4
Star Trek Into Darkness,May,15,2013,190,228.778661,467.381584,238.602923
The Lego Movie,Feb,7,2014,60,257.784718,457.729388,199.94467
Lucy,Jul,25,2014,40,126.57396,457.507776,330.933816
Django Unchained,Dec,25,2012,100,162.805434,449.948323,287.142889
Thor,May,6,2011,150,181.030624,449.326618,268.295994
Les Miserables,Dec,25,2012,65,148.80977,442.169052,293.359282
Terminator: Genisys,Jul,1,2015,155,89.760956,440.160956,350.4
Warcraft,Jun,10,2016,160,47.225655,433.125655,385.9
The King’s Speech,Nov,26,2010,15,138.797449,430.821168,292.023719
The Chronicles of Narnia: The Voyage of the Dawn Treader,Dec,10,2010,155,104.38695,418.18695,313.8
The Wolverine,Jul,26,2013,115,132.556852,416.456852,283.9
Pacific Rim,Jul,12,2013,190,101.802906,411.002906,309.2
Kingsman: The Secret Service,Feb,13,2015,94,128.261724,404.561724,276.3
Ice Age: Collision Course,Jul,22,2016,105,63.871492,403.871492,340
Snow White and the Huntsman,Jun,1,2012,170,155.136755,401.016924,245.880169
Jason Bourne,Jul,29,2016,120,161.784595,399.184595,237.4
Prometheus,Jun,8,2012,125,126.477084,399.005706,272.528622
Tron: Legacy,Dec,17,2010,200,172.062763,397.562763,225.5
The Wolf of Wall Street,Dec,25,2013,100,116.900694,391.976723,275.076029
Independence Day: Resurgence,Jun,24,2016,165,103.144286,387.644286,284.5
Monster Hunt,Jan,22,2016,56,0.032766,386.09606,386.063294
Home,Mar,27,2015,130,177.39751,386.085953,208.688443
Hotel Transylvania,Sep,28,2012,85,148.313048,378.505812,230.192764
Taken 2,Oct,5,2012,45,139.854287,377.807404,237.953117
G.I. Joe: Retaliation,Mar,27,2013,140,122.52306,375.740705,253.217645
The Adventures of Tintin,Dec,21,2011,130,77.591831,373.993951,296.40212
Mad Max: Fury Road,May,15,2015,150,153.636354,373.136354,219.5
Captain America: The First Avenger,Jul,22,2011,140,176.654505,370.569776,193.915271
Gone Girl,Oct,3,2014,61,167.767189,368.567189,200.8
Penguins of Madagascar,Nov,26,2014,132,83.350911,367.650911,284.3
Edge of Tomorrow,Jun,6,2014,178,100.206256,364.406256,264.2
The Hangover 3,May,23,2013,103,112.200072,362.000072,249.8
Night at the Museum: Secret of the Tomb,Dec,19,2014,127,113.746621,356.546621,242.8
X-Men: First Class,Jun,3,2011,160,146.408305,355.408305,209
Noah,Mar,28,2014,130,101.200044,352.831065,251.631021
The Karate Kid,Jun,11,2010,40,176.591618,351.774938,175.18332
Now You See Me,May,31,2013,75,117.723989,351.723989,234
The Great Gatsby,May,10,2013,190,144.840419,351.040419,206.2
Doctor Seuss' The Lorax,Mar,2,2012,67.5,214.0305,350.976753,136.946253
The Legend of Tarzan,Jul,1,2016,180,126.643061,349.143061,222.5
Alvin and the Chipmunks: Chipwrecked,Dec,16,2011,80,133.107389,349.088523,215.981134
The Smurfs 2,Jul,31,2013,110,71.017784,348.547523,277.529739
The Maze Runner,Sep,19,2014,34,102.427862,348.319861,245.891999
The Angry Birds Movie,May,20,2016,73,107.509366,347.746163,240.236797
Star Trek Beyond,Jul,22,2016,185,158.526005,336.326005,177.8
The Good Dinosaur,Nov,25,2015,187.5,123.08712,334.354269,211.267149
22 Jump Street,Jun,13,2014,50,191.719337,331.333876,139.614539
Black Swan,Dec,3,2010,13,106.954678,331.26671,224.312032
300: Rise of an Empire,Mar,7,2014,110,106.580051,330.780051,224.2
Now You See Me 2,Jun,10,2016,90,65.07554,328.67554,263.6
Taken 3,Jan,9,2015,48,89.256424,327.656424,238.4
Robin Hood,May,14,2010,210,105.26973,322.241588,216.971858
Megamind,Nov,5,2010,130,148.415853,321.887208,173.471355
The Last Airbender,Jul,1,2010,150,131.772187,319.713881,187.941694
Journey 2: The Mysterious Island,Feb,10,2012,79,103.86029,318.146162,214.285872
The Conjuring,Jul,19,2013,20,137.400141,318.000141,180.6
Prince of Persia: Sands of Time,May,28,2010,200,90.759676,314.594597,223.834921
The Expendables 2,Aug,17,2012,100,85.028192,311.979256,226.951064
The SpongeBob Movie: Sponge Out of Water,Feb,6,2015,74,162.994032,311.594032,148.6
The Conjuring 2: The Enfield Poltergeist,Jun,10,2016,40,102.470008,311.270008,208.8
Maze Runner: The Scorch Trials,Sep,18,2015,61,81.697192,310.697192,229
Little Fockers,Dec,22,2010,100,148.4386,310.650574,162.211974
The Fault in Our Stars,Jun,6,2014,12,124.87235,307.166834,182.294484
Rise of the Guardians,Nov,21,2012,145,103.412758,306.900902,203.488144
Wrath of the Titans,Mar,30,2012,150,83.670083,305.270083,221.6
Battleship,May,18,2012,209,65.2334,305.218228,239.984828
A Good Day to Die Hard,Feb,14,2013,92,67.349198,304.249198,236.9
Shutter Island,Feb,19,2010,80,128.012934,299.461782,171.448848
Resident Evil: Afterlife,Sep,10,2010,57.5,60.128566,295.87419,235.745624
The Divergent Series: Insurgent,Mar,20,2015,110,130.179072,295.279072,165.1
Sex and the City 2,May,27,2010,95,95.347692,294.680778,199.333086
Salt,Jul,23,2010,130,118.311368,290.650494,172.339126
Bridesmaids,May,13,2011,32.5,169.106725,289.52703,120.420305
Oblivion,Apr,19,2013,120,89.107235,287.916633,198.809398
Pitch Perfect 2,May,15,2015,29,183.785415,286.995378,103.209963
Turbo,Jul,17,2013,135,83.02813,286.896578,203.868448
Elysium,Aug,9,2013,120,93.050117,286.192091,193.141974
John Carter,Mar,9,2012,275,73.058679,282.7781,209.719421
The Bourne Legacy,Aug,10,2012,125,113.20387,280.35592,167.15205
The Tourist,Dec,10,2010,100,67.631157,278.731369,211.100212
Alice Through the Looking Glass,May,27,2016,170,77.042381,277.442381,200.4
Divergent,Mar,21,2014,85,150.947895,276.014965,125.06707
Cloudy with a Chance of Meatballs 2,Sep,27,2013,78,119.793567,274.392649,154.599082
Lincoln,Nov,9,2012,65,182.207973,273.346281,91.138308
Grown Ups,Jun,25,2010,75,162.001186,272.22343,110.222244
Neighbors,May,9,2014,18,150.0868,270.594534,120.507734
Mr. Peabody & Sherman,Mar,7,2014,145,111.50643,269.80643,158.3
Exodus: Gods and Kings,Dec,12,2014,140,65.014513,268.314513,203.3
The Expendables,Aug,13,2010,82,103.068524,268.268174,165.19965
We're the Millers,Aug,7,2013,37,150.394119,267.816276,117.422157
Real Steel,Oct,7,2011,110,85.463309,263.880341,178.417032
Epic,May,24,2013,100,107.518682,262.794441,155.275759
The Lone Ranger,Jul,2,2013,275,89.302115,260.002115,170.7
Paddington,Jan,16,2015,55,76.223578,259.54143,183.317852
Knight and Day,Jun,23,2010,117,76.423035,258.75137,182.328335
Super 8,Jun,9,2011,50,127.004179,257.972745,130.968566
American Hustle,Dec,13,2013,40,150.117807,257.878294,107.760487
Annabelle,Oct,3,2014,6.5,84.273813,256.873813,172.6
True Grit,Dec,22,2010,35,171.243005,252.276928,81.033923
After Earth,May,31,2013,130,60.522097,251.499665,190.977568
Grown Ups 2,Jul,12,2013,80,133.668525,247.023808,113.355283
Rango,Mar,4,2011,135,123.257581,245.504574,122.246993
The Peanuts Movie,Nov,6,2015,99,130.178411,244.778411,114.6
Teenage Mutant Ninja Turtles: Out of the Shadows,Jun,3,2016,135,82.051601,244.451601,162.4
Pixels,Jul,24,2015,90,78.747585,244.1263,165.378715
Hercules,Jul,25,2014,100,72.688614,243.388614,170.7
RoboCop,Feb,12,2014,120,58.607007,242.981799,184.374792
The Girl with the Dragon Tattoo,Dec,20,2011,90,102.515793,239.37397,136.858177
Resident Evil: Retribution,Sep,14,2012,65,42.345531,238.940997,196.595466
Daddy’s Home,Dec,25,2015,50,150.357137,238.757137,88.4
Dark Shadows,May,11,2012,150,79.727149,238.202668,158.475519
Disney Planes,Aug,9,2013,50,90.28258,238.059569,147.776989
American Reunion,Apr,6,2012,50,56.758835,236.799211,180.040376
Silver Linings Playbook,Nov,16,2012,21,132.092958,236.412453,104.319495
Alvin and the Chipmunks: The Road Chip,Dec,18,2015,90,85.886987,235.29608,149.409093
Spy!,Jun,5,2015,65,110.825712,233.125712,122.3
Gulliver's Travels,Dec,25,2010,112,42.779261,232.017848,189.238587
Green Lantern,Jun,17,2011,200,116.601172,231.201172,114.6
The Heat,Jun,28,2013,43,159.581587,229.727774,70.146187
The Green Hornet,Jan,14,2011,110,98.780042,229.155503,130.375461
Ghostbusters,Jul,15,2016,144,127.711314,228.365989,100.654675
The Imitation Game,Nov,28,2014,15,91.125143,227.773686,136.648543
Argo,Oct,12,2012,44.5,136.025503,227.140757,91.115254
The Social Network,Oct,1,2010,40,96.962694,224.922135,127.959441
Percy Jackson & the Olympians: The Lightning Thief,Feb,12,2010,95,88.768303,223.050874,134.282571
Everest,Sep,18,2015,65,43.30945,221.662676,178.353226
Captain Phillips,Oct,11,2013,55,107.136417,220.648184,113.511767
The Sorcerer's Apprentice,Jul,14,2010,160,63.150991,217.98632,154.835329
Valentine's Day,Feb,12,2010,52,110.485654,217.569328,107.083674
Jack Reacher,Dec,21,2012,60,80.070736,217.370736,137.3
Dracula Untold,Oct,10,2014,70,55.99188,216.821942,160.830062
Ted 2,Jun,26,2015,68,81.28483,216.500183,135.215353
Bad Teacher,Jun,24,2011,19,100.292856,215.448997,115.156141
Central Intelligence,Jun,17,2016,50,127.440871,215.140871,87.7
Just Go With It,Feb,11,2011,80,103.028109,214.974953,111.946844
Hansel & Gretel: Witch Hunters,Jan,25,2013,50,55.703475,214.949716,159.246241
Battle: Los Angeles,Mar,11,2011,70,83.552429,213.463976,129.911547
The Help,Aug,10,2011,25,169.705587,213.120004,43.414417
Non-Stop,Feb,28,2014,50,91.74216,212.74216,121
Horrible Bosses,Jul,8,2011,35,117.538559,212.417601,94.879042
Total Recall,Aug,3,2012,125,58.877969,211.856088,152.978119
Fury,Oct,17,2014,80,85.755593,211.755593,126
Due Date,Nov,5,2010,65,100.539043,211.739043,111.2
Immortals,Nov,11,2011,75,83.504017,211.562435,128.058418
The Expendables 3,Aug,15,2014,100,39.322544,209.461378,170.138834
Safe House,Feb,10,2012,85,126.18163,208.542162,82.360532
Eat Pray Love,Aug,13,2010,60,80.57401,206.598789,126.024779
Me Before You,Jun,3,2016,20,56.245075,205.445075,149.2
White House Down,Jun,28,2013,150,73.103784,205.440387,132.336603
Tomorrowland,May,22,2015,170,93.436322,205.336322,111.9
Yogi Bear,Dec,17,2010,80,100.246011,204.77469,104.528679
Into the Woods,Dec,25,2014,50,128.002372,203.502372,75.5
21 Jump Street,Mar,16,2012,42,138.447667,202.812429,64.364762
Paranormal Activity 3,Oct,21,2011,5,104.028807,202.053386,98.024579
Straight Outta Compton,Aug,14,2015,28,161.058685,201.867526,40.808841
Percy Jackson: Sea of Monsters,Aug,7,2013,90,68.559554,200.859554,132.3
Jack the Giant Slayer,Mar,1,2013,195,65.187603,197.687603,132.5
The Vow,Feb,10,2012,30,125.01403,197.61816,72.60413
The Intern,Sep,25,2015,40,75.764672,197.232734,121.468062
Red,Oct,15,2010,60,90.380162,196.439693,106.059531
The Other Woman,Apr,25,2014,40,83.911193,195.111193,111.2
Need for Speed,Mar,14,2014,66,43.568507,194.169619,150.601112
Xi You Ji zhi Sun Wu Kong San Da Bai Gu Jing,Feb,5,2016,60,0.709982,194.058503,193.348521
London Has Fallen,Mar,4,2016,60,62.52426,193.857962,131.333702
Gnomeo and Juliet,Feb,11,2011,36,99.96767,193.737977,93.770307
The Equalizer,Sep,26,2014,55,101.530738,192.165283,90.634545
Mr. Poppers's Penguins,Jun,17,2011,55,68.224452,189.624452,121.4
Hop,Apr,1,2011,63,108.085305,188.657593,80.572288
The Secret Life of Walter Mitty,Dec,25,2013,91,58.236838,188.536838,130.3
Jupiter Ascending,Feb,6,2015,179,47.482519,181.982519,134.5
12 Years a Slave,Oct,18,2013,20,56.671993,181.025343,124.35335
The Dictator,May,16,2012,65,59.650222,180.148897,120.498675
Hugo,Nov,23,2011,180,73.864507,180.047784,106.183277
Paranormal Activity 2,Oct,20,2010,3,84.752907,177.512032,92.759125
The A-Team,Jun,11,2010,110,77.222099,177.241171,100.019072
Lee Daniels' The Butler,Aug,16,2013,30,116.632095,177.025498,60.393403
Cowboys and Aliens,Jul,29,2011,163,100.240551,175.910315,75.669764
The Descendants,Nov,16,2011,20,82.624961,175.5078,92.882839
Identity Thief,Feb,8,2013,35,134.50692,175.361578,40.854658
Mirror Mirror,Mar,30,2012,85,64.935167,173.613482,108.678315
Creed,Nov,25,2015,37,109.767581,173.567581,63.8
Anchorman 2: The Legend Continues,Dec,18,2013,50,127.352707,172.185754,44.833047
Jackass 3D,Oct,15,2010,20,117.229692,171.685793,54.456101
The Divergent Series: Allegiant,Mar,18,2016,110,66.184051,171.484051,105.3
The Other Guys,Aug,6,2010,100,119.219978,170.93647,51.716492
Zookeeper,Jul,8,2011,80,80.360866,170.805525,90.444659
Bad Moms,Jul,29,2016,20,112.680839,170.680839,58
Magic Mike,Jun,29,2012,7,113.721571,170.549753,56.828182
Looper,Sep,28,2012,30,66.486205,170.466405,103.9802
The Impossible,Dec,21,2012,40,19.019882,169.590606,150.570724
Unstoppable,Nov,12,2010,95,81.562942,169.511609,87.948667
Fantastic Four,Aug,7,2015,120,56.117548,167.117548,111
Step Up 3D,Aug,6,2010,30,42.400223,165.889117,123.488894
Step Up Revolution,Jul,27,2012,33,35.074677,165.55229,130.477613
In Time,Oct,28,2011,35,37.553932,165.103952,127.55002
