Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
Made in Dagenham,Nov,19,2010,8,1.095369,15.644196,14.548827
Out of the Furnace,Dec,4,2013,22,11.330849,15.434375,4.103526
Ida,May,2,2014,2.6,3.82706,15.298355,11.471295
Snezhnaya koroleva,Jan,28,2014,7,0,15.20633,15.20633
Io sono l’amore,Jun,18,2010,10,5.005465,15.132211,10.126746
The Reef,Dec,31,2010,10,0,15.037867,15.037867
Scout's Guide to the Zombie Apocalypse,Oct,30,2015,15,3.703046,14.947243,11.244197
Regression,Oct,30,2015,20,0.055039,14.883495,14.828456
A Dangerous Method,Nov,23,2011,20,5.702083,14.807531,9.105448
Khiladi 786,Dec,7,2012,5.6,0.385422,14.683763,14.298341
Beyond the Lights,Nov,14,2014,7,14.618727,14.618727,0
Red Lights,Jul,13,2012,17.7,0.049521,14.518884,14.469363
Beginners,Jun,3,2011,3.2,5.790894,14.314407,8.523513
Do You Believe?,Mar,20,2015,2.3,12.9856,14.30554,1.31994
Labor Day,Jan,31,2014,18,13.371528,14.18981,0.818282
The Gunman,Mar,20,2015,40,10.664749,13.644292,2.979543
Redemption,Jun,28,2013,23,0.036686,13.593473,13.556787
Le Havre,Oct,21,2011,5.5,0.611709,13.480196,12.868487
While We're Young,Mar,27,2015,10,7.582065,13.423176,5.841111
Akmareul Boatda,Mar,4,2011,6,0.12921,13.168809,13.039599
Hillary’s America: The Secret History of the Democratic Party,Jul,15,2016,5,13.086824,13.086824,0
The Vatican Tapes,Jul,24,2015,13,1.784763,12.986189,11.201426
The Green Inferno,Sep,25,2015,1,7.192291,12.931569,5.739278
Unfinished Business,Mar,6,2015,35,10.219501,12.819501,2.6
The Light Between Oceans,Sep,2,2016,20,12.322798,12.755889,0.433091
Bachelorette,Sep,7,2012,3,0.44677,12.577401,12.130631
People Like Us,Jun,29,2012,16,12.431792,12.519804,0.088012
Hot Tub Time Machine 2,Feb,20,2015,14,12.314651,12.452601,0.13795
The Interview,Feb,6,2014,44,6.105175,12.342632,6.237457
The Lunchbox,Feb,28,2014,1.7,4.2315,12.2315,8
Stoker,Mar,1,2013,12,1.703125,12.079308,10.376183
Harry Brown,Apr,30,2010,7.3,1.818681,12.023606,10.204925
Chloe,Mar,26,2010,13,3.075255,11.831131,8.755876
Conviction,Oct,15,2010,12.5,6.797696,11.82698,5.029284
Getaway,Aug,30,2013,18,10.501938,11.813989,1.312051
Trance,Dec,31,2010,0.95,0,11.784772,11.784772
Seeking a Friend for the End of the World,Jun,22,2012,10,7.078738,11.766959,4.688221
Micmacs,May,28,2010,42,1.259693,11.756922,10.497229
Dum Maaro Dum,Apr,22,2011,5.2,0.564489,11.633427,11.068938
The Sessions,Oct,19,2012,1,6.002451,11.495204,5.492753
Reign of Assassins,Dec,31,2011,14,0,11.35423,11.35423
Snow Flower and the Secret Fan,Jul,15,2011,6,1.348205,11.348205,10
Frances Ha,May,17,2013,3,4.067398,11.267511,7.200113
Shanghai,Oct,2,2015,50,0.046425,11.258055,11.21163
Straw Dogs,Sep,16,2011,25,10.324441,11.253821,0.92938
Never Let Me Go,Sep,15,2010,15,2.434652,11.173718,8.739066
Fun Size,Oct,26,2012,14,9.409538,11.166615,1.757077
Jonah Hex,Jun,18,2010,47,10.547117,11.022696,0.475579
Get Low,Jul,30,2010,7,9.176933,10.828305,1.651372
We Need to Talk About Kevin,Dec,9,2011,7,1.738692,10.765283,9.026591
Prom,Apr,29,2011,8,10.130219,10.763183,0.632964
The Apparition,Aug,24,2012,17,4.936819,10.637281,5.700462
Moms’ Night Out,May,9,2014,5,10.429707,10.537341,0.107634
Dangerous Liaisons,Nov,9,2012,24.2,0.017,10.447579,10.430579
LOL,May,4,2012,11,0,10.431506,10.431506
Thunder and the House of Magic,Sep,5,2014,34,0.004091,10.392666,10.388575
All is Lost,Oct,18,2013,8.5,6.26367,10.29201,4.02834
Snabba Cash,Jul,11,2012,4.3,0.18887,10.212403,10.023533
We Are Your Friends,Aug,28,2015,2,3.591417,10.166209,6.574792
ABCD (Any Body Can Dance),Feb,8,2013,1.9,0.222098,10.137234,9.915136
Bernie,Apr,27,2012,6,9.204489,10.106975,0.902486
Cyrus,Jun,18,2010,7,7.468936,10.062896,2.59396
For Greater Glory,Jun,1,2012,12,5.669081,10.026255,4.357174
Airlift (2016),Dec,31,2016,4.4,0,9.969237,9.969237
The Perfect Match,Mar,11,2016,5,9.669521,9.669521,0
Winter in Wartime,Mar,18,2011,5.8,0.54286,9.662214,9.119354
Popstar: Never Stop Never Stopping,Jun,3,2016,20,9.49613,9.53712,0.04099
Belka i Strelka. Zvezdnye sobaki,Dec,31,2010,25,0,9.445081,9.445081
Ernest et Celestine,Mar,1,2013,12.5,0.292562,9.376444,9.083882
Salvando al Soldado Perez,Sep,2,2011,4.5,1.400726,9.330465,7.929739
On the Road,Dec,21,2012,25,0.720828,9.313302,8.592474
Peeples,May,10,2013,15,9.177065,9.307166,0.130101
Promised Land,Dec,28,2012,15,7.597898,9.300336,1.702438
Serbuan maut,Mar,23,2012,1.1,4.105123,9.297407,5.192284
Le nom des gens,Jun,24,2011,4.6,0.514237,9.261711,8.747474
Mientras duermes,Oct,26,2012,5,0,9.109597,9.109597
Meet the Blacks,Apr,1,2016,0.9,9.097072,9.097072,0
Metallica Through the Never,Sep,27,2013,18,3.419967,9.082906,5.662939
The Collection,Nov,30,2012,10,6.810754,8.890094,2.07934
Barney's Version,Dec,17,2010,30,7.50256,8.845575,1.343015
Inherent Vice,Dec,12,2014,20,8.110975,8.692898,0.581923
MacGruber,May,21,2010,10,8.5256,8.629895,0.104295
Xinhai geming,Oct,7,2011,30,0.135739,8.593154,8.457415
Our Brand is Crisis,Oct,30,2015,28,7.002261,8.592432,1.590171
Albert Nobbs,Dec,21,2011,7.5,3.014696,8.539003,5.524307
The Warrior's Way,Dec,3,2010,42,5.66634,8.514325,2.847985
Casa de mi Padre,Mar,16,2012,6,5.909483,8.446952,2.537469
Chasing Mavericks,Oct,26,2012,20,6.002756,8.300821,2.298065
La véritable histoire du Chat Botté,Oct,4,2011,25,0,8.208594,8.208594
Sardaar Ji,Dec,31,2015,2.7,0,8.2,8.2
City Island,Mar,19,2010,6,6.671283,8.173486,1.502203
Animal Kingdom,Aug,13,2010,4.2,1.044039,8.078683,7.034644
Centurion,Aug,27,2010,15,0.12357,7.885048,7.761478
Cedar Rapids,Feb,11,2011,10,6.861102,7.862131,1.001029
Bad Words,Mar,14,2014,10,7.779614,7.843145,0.063531
The Sweeney,Mar,1,2013,4.5,0.026345,7.838405,7.81206
Inside Job,Oct,8,2010,2,4.311834,7.799257,3.487423
Nowhere Boy,Oct,8,2010,1.9,1.445366,7.785229,6.339863
Kevin Hart: Laugh at My Pain,Sep,9,2011,0.75,7.706436,7.712436,0.006
The Big Year,Oct,14,2011,41,7.204138,7.684524,0.480386
The Immigrant,May,16,2014,16,2.013456,7.585011,5.571555
Take Me Home Tonight,Mar,4,2011,19,6.928068,7.576604,0.648536
Danny Collins,Mar,20,2015,10,5.637066,7.501132,1.864066
Compadres,Apr,22,2016,3,3.127773,7.445044,4.317271
Morgan,Sep,2,2016,8,3.915251,7.315251,3.4
Black Nativity,Nov,27,2013,17.5,7.018188,7.285135,0.266947
Under the Skin,Apr,4,2014,13.3,2.614251,7.229933,4.615682
The Young Messiah,Mar,11,2016,16.8,6.469813,7.155967,0.686154
La Cara Oculta,Dec,31,2011,2.6,0,7.033931,7.033931
The Awakening,Aug,17,2012,4.9,0.095933,6.924321,6.828388
The Spectacular Now,Aug,2,2013,2.5,6.852971,6.916951,0.06398
Midnight Special,Mar,18,2016,18,3.712282,6.841142,3.12886
Nie yin niang,Oct,16,2015,15,0.632542,6.832542,6.2
Bran Nue Dae,Sep,10,2010,6.75,0.113568,6.81253,6.698962
It's Kind of a Funny Story,Oct,8,2010,8,6.363628,6.63295,0.269322
Wish I Was Here,Jul,18,2014,6,3.591299,6.591365,3.000066
Trash,Oct,9,2015,12,0.017484,6.553186,6.535702
Attack the Block,Jul,29,2011,13,1.024175,6.459183,5.435008
Rabbit Hole,Dec,17,2010,5,2.229058,6.205034,3.975976
The Fifth Estate,Oct,18,2013,26,3.254172,6.154172,2.9
Dylan Dog: Dead of Night,Apr,29,2011,20,1.186538,6.093725,4.907187
A Most Violent Year,Dec,31,2014,20,5.749134,6.071433,0.322299
Samsara,Aug,24,2012,4,2.672413,5.966671,3.294258
Fish Tank,Jan,15,2010,3,0.374675,5.922292,5.547617
20 Feet From Stardom,Jun,14,2013,1,4.94625,5.892466,0.946216
Jab Tak Hai Jaan,Nov,13,2012,9.2,3.047539,5.797456,2.749917
The Skeleton Twins,Sep,12,2014,1,5.284309,5.797192,0.512883
Won't Back Down,Sep,28,2012,19,5.310554,5.714913,0.404359
Trolljegeren,Jun,10,2011,3.5,0.253444,5.706638,5.453194
Monsters,Oct,29,2010,0.5,0.237301,5.63973,5.402429
L'illusionniste,Dec,25,2010,17,2.231474,5.631474,3.4
The Frozen Ground,Aug,23,2013,19.2,0,5.61746,5.61746
Anomalisa,Dec,30,2015,8,3.759286,5.531455,1.772169
Tucker & Dale vs. Evil,Sep,30,2011,5,0.223838,5.476793,5.252955
Martha Marcy May Marlene,Oct,21,2011,1,2.981038,5.438911,2.457873
October Baby,Mar,23,2012,1,5.355847,5.391992,0.036145
Ironclad,Jul,8,2011,25,0,5.297411,5.297411
The Runaways,Mar,19,2010,9.5,3.573673,5.278632,1.704959
The Beaver,May,6,2011,21,0.970816,5.046038,4.075222
Mother and Child,May,7,2010,7,1.110509,5.010509,3.9
Take Shelter,Sep,30,2011,4.75,1.728953,4.972016,3.243063
Robot & Frank,Aug,17,2012,2.5,3.317468,4.934356,1.616888
"Guten Tag, Ramon",Jan,30,2015,4,0.154356,4.854356,4.7
90 Minutes in Heaven,Sep,11,2015,5,4.816142,4.816142,0
Tao Jie,Feb,26,2013,5.4,0,4.728896,4.728896
Hands of Stone,Aug,26,2016,20,4.710125,4.716372,0.006247
"Jeff, Who Lives at Home",Mar,16,2012,10,4.269426,4.708127,0.438701
Demonic,Dec,31,2014,3,0,4.668109,4.668109
Killer Joe,Jul,27,2012,10,1.291645,4.65911,3.367465
Everybody Wants Some,Mar,30,2016,10,3.400278,4.608655,1.208377
Submarine,Jun,3,2011,1.9,0.467602,4.581937,4.114335
Please Give,Apr,30,2010,3,4.033574,4.570178,0.536604
"Don Gato, el inicio de la pandilla",Dec,31,2015,80,0,4.534791,4.534791
Only God Forgives,Jul,19,2013,4.8,0.775849,4.49456,3.718711
Geograf globus propil,Dec,31,2013,4,0,4.454853,4.454853
Safety Not Guaranteed,Jun,8,2012,0.75,4.010957,4.422318,0.411361
Solitary Man,May,21,2010,12.5,4.360548,4.360548,0
Holy Motors,Oct,17,2012,4,0.641054,4.230426,3.589372
The To Do List,Jul,26,2013,1.5,3.491669,4.128828,0.637159
Stone,Oct,8,2010,22,1.810078,4.06502,2.254942
There Be Dragons,May,6,2011,36,1.069334,4.02099,2.951656
The Perfect Game,Apr,16,2010,12.5,1.089445,3.931367,2.841922
To Save a Life,Jan,22,2010,0.5,3.77721,3.824868,0.047658
Green Room,Apr,15,2016,5,3.220371,3.807503,0.587132
Celeste and Jesse Forever,Aug,3,2012,0.84,3.103407,3.787689,0.684282
Like Crazy,Oct,28,2011,0.25,3.395391,3.731489,0.336098
Machine Gun Preacher,Sep,23,2011,30,0.53869,3.721988,3.183298
The Iceman,May,3,2013,10,1.930282,3.623609,1.693327
The Killer Inside Me,Jun,18,2010,13,0.217277,3.617277,3.4
The Secret of Kells,Mar,5,2010,8,0.69029,3.582797,2.892507
The Joneses,Apr,16,2010,10,1.475746,3.541565,2.065819
Fireflies in the Garden,Oct,14,2011,8,0.036884,3.505823,3.468939
Veronica Mars,Mar,14,2014,6,3.322127,3.485383,0.163256
By the Sea,Nov,13,2015,20,0.53846,3.445926,2.907466
The Homesman,Nov,14,2014,16,2.429989,3.442853,1.012864
Beneath Hill 60,Jun,17,2014,9,0,3.440939,3.440939
Chiamatemi Francesco - Il papa della gente,Dec,31,2015,15,0,3.439835,3.439835
Child 44,Apr,17,2015,50,1.22433,3.43433,2.21
Atlas Shrugged: Part II,Oct,12,2012,10,3.336053,3.336053,0
Heist,Nov,13,2015,8.9,0.050136,3.324184,3.274048
Obvious Child,Jun,6,2014,1,3.122616,3.32407,0.201454
Letters to God,Apr,9,2010,3,2.848587,3.237452,0.388865
Rosewater,Nov,14,2014,10,3.128941,3.168858,0.039917
Your Sister's Sister,Jun,15,2012,0.12,1.597486,3.090593,1.493107
Que Horas Ela Volta?,Aug,28,2015,1.2,0.376976,3.048209,2.671233
The East,May,31,2013,6.5,2.274649,3.027956,0.753307
Jane Got a Gun,Jan,29,2016,25,1.513793,2.962177,1.448384
Blood Ties,Mar,21,2014,26,0.042472,2.923959,2.881487
Home Run,Apr,19,2013,1.2,2.859955,2.859955,0
Filly Brown,Apr,19,2013,1.25,2.850357,2.850357,0
Everything Must Go,May,13,2011,5,2.712131,2.82101,0.108879
Restless,Sep,16,2011,8,0.163753,2.818394,2.654641
Captive,Sep,18,2015,2,2.583301,2.791973,0.208672
Kill the Messenger,Oct,10,2014,5,2.450846,2.786939,0.336093
Wuthering Heights,Oct,5,2012,8,0.100915,2.721534,2.620619
Ajami,Feb,3,2010,1,0.621859,2.721096,2.099237
N-Secure,Oct,15,2010,1.6,2.595644,2.595644,0
The Gatekeepers,Feb,1,2013,1.5,2.408553,2.592308,0.183755
Bucky Larson: Born to Be a Star,Sep,9,2011,10,2.529395,2.529395,0
Grace Unplugged,Oct,4,2013,1.7,2.507159,2.507159,0
After.Life,Apr,9,2010,4.5,0.108596,2.481925,2.373329
Four Lions,Nov,5,2010,3.75,0.310007,2.436111,2.126104
The Grace Card,Feb,25,2011,0.2,2.430735,2.430735,0
The Devil's Double,Jul,29,2011,19.1,1.361512,2.406666,1.045154
Nannerl la soeur de Mozart,Aug,19,2011,4.5,0.707885,2.404639,1.696754
The Neon Demon,Jun,24,2016,7.5,1.333124,2.374225,1.041101
Jem and the Holograms,Oct,23,2015,5,2.18464,2.368937,0.184297
The Diary of a Teenage Girl,Aug,7,2015,2,1.477002,2.279959,0.802957
Casino Jack,Dec,17,2010,12.5,2.039869,2.272186,0.232317
My All-American,Nov,13,2015,20,2.246,2.246,0
Grave Encounters,Sep,9,2011,2,0,2.151887,2.151887
Now is Good,Jan,8,2013,0.5,0,2.141436,2.141436
Another Earth,Jul,22,2011,0.175,1.321194,2.102779,0.781585
Misconduct,Feb,5,2016,11,0,2.086974,2.086974
Z Storm,Aug,18,2015,7,0,2.05333,2.05333
The Art of Getting By,Jun,17,2011,4,1.430241,1.989035,0.558794
Red State,Mar,5,2011,4,1.065429,1.983596,0.918167
Escobar: Paradise Lost,Jun,26,2015,17,0.195792,1.973945,1.778153
All the Boys Love Mandy Lane,Oct,11,2013,0.75,0,1.960521,1.960521
La chambre bleue,Oct,3,2014,1.4,0.260441,1.94542,1.684979
The Christmas Candle,Nov,15,2013,7,1.632,1.933829,0.301829
Les herbes folles,Jun,25,2010,14,0.403952,1.903952,1.5
Greater,Aug,26,2016,9,1.895506,1.895506,0
The Mighty Macs,Oct,21,2011,7,1.891936,1.891936,0
A Better Life,Jun,24,2011,10,1.759252,1.884251,0.124999
Meek's Cutoff,Apr,8,2011,2,0.977772,1.869928,0.892156
Dom Hemingway,Apr,2,2014,7,0.523511,1.857458,1.333947
Zulu,Dec,31,2013,16,0,1.844228,1.844228
Tu Xia Chuan Qi,Dec,31,2011,12,0,1.8284,1.8284
Tusk,Sep,19,2014,3,1.821983,1.821983,0
Flipped,Aug,6,2010,14,1.755212,1.755212,0
Freeheld,Oct,2,2015,7,0.546201,1.732228,1.186027
"Men, Women and Children",Oct,1,2014,16,0.705908,1.705908,1
Deadfall,Dec,7,2012,6,0.066351,1.673635,1.607284
It's a Wonderful Afterlife,Oct,8,2010,10,0,1.642939,1.642939
Weekend,Sep,23,2011,0.19,0.484592,1.577585,1.092993
The Lords of Salem,Apr,19,2013,1.5,1.165881,1.541131,0.37525
Enter the Void,Sep,24,2010,16,0.337997,1.467278,1.129281
ГЕРОЙ,Dec,31,2015,7,0,1.390976,1.390976
"For a Good Time, Call",Aug,31,2012,0.85,1.251749,1.386088,0.134339
Dogtooth,Jun,25,2010,0.323,0.110248,1.373407,1.263159
The City of Your Final Destination,Apr,16,2010,8.3,0.493296,1.353296,0.86
Damsels in Distress,Apr,6,2012,3,1.007535,1.324299,0.316764
I Spit on Your Grave,Oct,8,2010,1.75,0.093051,1.278471,1.18542
Twixt,Jul,23,2013,7,0,1.268346,1.268346
The Future,Jul,29,2011,1,0.568662,1.239174,0.670512
You Got Served: Beat The World,Jun,21,2011,10,0,1.230542,1.230542
Blackthorn,Oct,7,2011,4.5,0.200558,1.217307,1.016749
Darling Companion,Apr,20,2012,12,0.793352,1.200346,0.406994
Anna,Jun,6,2014,4.357373,0,1.2,1.2
Phantom,Mar,1,2013,18,1.034589,1.19951,0.164921
Kill the Irishman,Mar,11,2011,12,1.188194,1.188194,0
The Face of Love,Mar,7,2014,4,0.385069,1.158877,0.773808
Palo Alto,May,9,2014,1,0.767732,1.156309,0.388577
The Son of No One,Nov,4,2011,15,0.03068,1.148578,1.117898
Sholem Aleichem: Laughing in the Darkness,Jul,8,2011,0.5,1.131261,1.131261,0
Burn,Jul,20,2012,0.225,1.109276,1.109276,0
A Little Bit of Heaven,May,4,2012,12.5,0.010011,1.100287,1.090276
Loin des hommes,Apr,14,2015,7.7,0.005336,1.080428,1.075092
The Oogieloves in the BIG Balloon Adventure,Aug,29,2012,20,1.065907,1.065907,0
Coriolanus,Dec,2,2011,10,0.749641,1.049641,0.3
Chain Letter,Oct,1,2010,3,0.205842,1.022453,0.816611
The Innkeepers,Feb,3,2012,0.75,0.078396,1.011535,0.933139
Another Happy Day,Nov,18,2011,4,0.00912,0.978527,0.969407
Circumstance,Aug,26,2011,0.9,0.454121,0.958978,0.504857
Wild Card,Jan,30,2015,30,0.0032,0.929157,0.925957
Jimi: All is By My Side,Sep,26,2014,5,0.340911,0.927074,0.586163
Princess Kaiulani,May,14,2010,9,0.883887,0.883887,0
All Good Things,Dec,3,2010,20,0.582024,0.873617,0.291593
Miss Julie,May,5,2015,5.5,0,0.863895,0.863895
I Origins,Jul,18,2014,1,0.336472,0.852399,0.515927
Atlas Shrugged: Who Is John Galt?,Sep,12,2014,5,0.85169,0.85169,0
Higher Ground,Aug,23,2011,1.8,0.841056,0.842693,0.001637
Hobo with a Shotgun,May,6,2011,3,0.703372,0.834953,0.131581
Compliance,Aug,17,2012,0.27,0.319285,0.8307,0.511415
Survivor,May,29,2015,20,0,0.774905,0.774905
Praia do Futuro,Feb,27,2015,4,0.02062,0.760678,0.740058
The Square,Apr,9,2010,1.9,0.406216,0.740932,0.334716
Ain't Them Bodies Saints,Aug,16,2013,5,0.391611,0.74048,0.348869
Rubber,Apr,1,2011,0.5,0.10037,0.680914,0.580544
Stake Land,Apr,22,2011,4,0.033245,0.679482,0.646237
POM Wonderful Presents: The Greatest Movie Ever Sold,Apr,22,2011,1.8,0.638476,0.638476,0
The Virginity Hit,Sep,24,2010,2,0.636706,0.636706,0
Margaret,Sep,30,2011,14,0.047185,0.623292,0.576107
Maggie,May,8,2015,4.5,0.187112,0.597989,0.410877
Blue Like Jazz,Apr,13,2012,1.2,0.595018,0.595018,0
Super,Apr,1,2011,2.5,0.327716,0.593933,0.266217
Freedom,Jun,5,2015,14.5,0,0.565801,0.565801
Ondine,Jun,4,2010,12,0.550472,0.557545,0.007073
Plastic,Sep,26,2014,10,0,0.552641,0.552641
Heli,Dec,31,2013,1,0,0.552614,0.552614
The Lost Medallion: The Adventures of Billy Stone,Mar,1,2013,2.5,0.549632,0.549632,0
Standing Ovation,Jul,16,2010,5.6,0.531806,0.531806,0
The Reluctant Fundamentalist,Apr,26,2013,15,0.528731,0.528731,0
Unsullied,Aug,28,2015,1.5,0.510957,0.510957,0
In The Land of Blood and Honey,Dec,23,2011,13,0.303877,0.509193,0.205316
The Act of Killing,Jul,19,2013,1,0.486919,0.501289,0.01437
The Extra Man,Jul,30,2010,7,0.453377,0.492108,0.038731
Brotherly Love,Apr,24,2015,1.9,0.478595,0.478595,0
Kill List,Feb,3,2012,0.8,0.029063,0.462206,0.433143
Gunless,Apr,30,2010,9.9,0.458054,0.458054,0
A Lonely Place to Die,Mar,20,2012,4,0,0.44255,0.44255
Grabbers,Jul,19,2013,5.3,0,0.440821,0.440821
Blue Ruin,Apr,25,2014,0.42,0.258384,0.435168,0.176784
I Want Your Money,Oct,15,2010,0.4,0.433588,0.433588,0
Sound of My Voice,Apr,27,2012,0.135,0.408015,0.429448,0.021433
Tiny Furniture,Nov,12,2010,0.05,0.391674,0.424149,0.032475
The Brass Teapot,Apr,5,2013,0.9,0.006997,0.413733,0.406736
The 5th Quarter,Mar,25,2011,6,0.408159,0.408159,0
Drinking Buddies,Aug,23,2013,0.5,0.343706,0.4071,0.063394
Hesher,May,13,2011,7,0.382946,0.382946,0
Joe,Apr,11,2014,4,0.373375,0.373375,0
MOOZ-lum,Feb,11,2011,1.5,0.362239,0.372239,0.01
Before We Go,Sep,4,2015,3,0.037151,0.371149,0.333998
The Young and Prodigious T.S. Spivet,Jul,31,2015,33,0.176847,0.357687,0.18084
Welcome to the Rileys,Oct,29,2010,10,0.152857,0.355919,0.203062
The Good Heart,Apr,30,2010,3.8,0.02093,0.34093,0.32
Manglehorn,Jun,19,2015,4,0.13227,0.332752,0.200482
Creature,Sep,9,2011,3,0.331,0.331,0
Desert Dancer,Apr,10,2015,4,0.155271,0.324218,0.168947
USS Indianapolis: Men of Courage,Dec,31,2016,40,0,0.320248,0.320248
The Yellow Handkerchief,Feb,26,2010,15.5,0.318623,0.318623,0
The Other Dream Team,Sep,28,2012,0.5,0.134109,0.314444,0.180335
Jungle Shuffle,Mar,10,2015,10,0,0.314073,0.314073
Cargo,Oct,21,2011,4.2,0,0.31323,0.31323
San qiang pai an jing qi,Sep,3,2010,12,0.190946,0.310946,0.12
My Dog Tulip,Sep,1,2010,0.35,0.246574,0.310891,0.064317
3,Sep,16,2011,7.2,0.059774,0.295492,0.235718
Antarctica: A Year on Ice,Nov,28,2014,1,0.288757,0.288757,0
Above and Beyond,Jan,30,2015,1.3,0.288751,0.288751,0
Stranded,Jul,26,2013,1.9,0,0.285593,0.285593
"Lovely, Still",Sep,10,2010,5,0.127564,0.282687,0.155123
Life During Wartime,Jul,23,2010,4.5,0.281447,0.281447,0
The Tempest,Dec,10,2010,20,0.277943,0.277943,0
The Last Days on Mars,Dec,6,2013,10.6,0.024084,0.261364,0.23728
Two Night Stand,Sep,26,2014,1.6,0.0156,0.242443,0.226843
