Movie,Month,Day,Release Year,Budget ($m),Domestic Gross ($m),Worldwide Gross ($m),Foreign Gross ($m)
Housebound,Oct,17,2014,1.5,0,0.236863,0.236863
Middle of Nowhere,Oct,12,2012,0.2,0.236806,0.236806,0
Brighton Rock,Aug,26,2011,11,0.229653,0.229653,0
Tim and Eric's Billion Dollar Movie,Mar,2,2012,3,0.201436,0.223652,0.022216
La fille du RER,Jan,22,2010,9,0.208163,0.208163,0
Amigo,Aug,19,2011,1.5,0.184705,0.184705,0
The Masked Saint,Jan,8,2016,3.5,0.182695,0.182695,0
Go For It!,May,13,2011,2.45,0.180237,0.182358,0.002121
Pourquoi j'ai pas mangé mon père,Dec,31,2015,42,0,0.182156,0.182156
All You Need Is Love,Oct,31,2014,0.3,0,0.177507,0.177507
Barbecue,Dec,26,2014,10,0.000388,0.173613,0.173225
"Cinco de Mayo, La Batalla",May,3,2013,10,0.173472,0.173472,0
Freakonomics,Oct,1,2010,2.9,0.10127,0.172867,0.071597
Savva. Serdtse voyna,Mar,8,2016,30,0,0.172242,0.172242
Escape from Tomorrow,Oct,11,2013,0.65,0.171962,0.171962,0
United Passions,Jun,5,2015,30,0.000918,0.168832,0.167914
The Last Godfather,Apr,1,2011,13.4,0.164247,0.164247,0
Carlos,Oct,15,2010,18,0.145526,0.157002,0.011476
The Divide,Jan,13,2012,3,0.018,0.156362,0.138362
Dragon Nest Warriors' Dawn,Dec,31,2014,40,0,0.155403,0.155403
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Apr,17,2013,0.5,0.152449,0.152449,0
Kicks,Sep,9,2016,10,0.150191,0.150191,0
The Red Riding Trilogy: 1974,Feb,5,2010,9,0.148826,0.148826,0
The Last Five Years,Feb,13,2015,2,0.147299,0.147299,0
Love Ranch,Jun,30,2010,25,0.137885,0.146149,0.008264
Space Pirate Captain Harlock,Dec,31,2013,30,0,0.14349,0.14349
Accidental Love,Mar,17,2015,26,0,0.135436,0.135436
The Eclipse,Mar,26,2010,3,0.133411,0.133411,0
Yi ge ren de wu lin,Apr,24,2015,25,0.129115,0.129115,0
Antiviral,Apr,12,2013,3.1,0,0.123407,0.123407
Trust,Apr,1,2011,4,0.120016,0.120016,0
Valley of the Hearts Delight,Apr,9,2010,2.5,0.118666,0.118666,0
The Greatest,Apr,2,2010,6,0.115862,0.117796,0.001934
Breaking Upwards,Apr,2,2010,0.015,0.115592,0.115592,0
Road Hard,Mar,6,2015,1.5,0.113169,0.113169,0
Blood Done Sign My Name,Feb,19,2010,10,0.109383,0.109383,0
Wild Target,Oct,29,2010,8,0.109338,0.109338,0
Elsa & Fred,Nov,7,2014,10,0.067657,0.109144,0.041487
The Good Guy,Feb,19,2010,10,0.100688,0.106466,0.005778
Criminal Activities,Nov,20,2015,7,0,0.103962,0.103962
Saint John of Las Vegas,Jan,29,2010,2,0.102645,0.102645,0
George A. Romero's Survival of the Dead,May,28,2010,4.2,0.10174,0.10174,0
Beyond the Brick: A LEGO Brickumentary,Jul,31,2015,1,0.101531,0.101531,0
8: The Mormon Proposition,Jun,18,2010,2.5,0.10028,0.10028,0
Hardflip,Jun,1,2012,1,0.096734,0.096734,0
Vamps,Nov,2,2012,16,0.003361,0.094812,0.091451
Red Sky,Mar,10,2015,25,0,0.091116,0.091116
5 Days of War,Aug,19,2011,12,0.017479,0.087793,0.070314
Leaves of Grass,Apr,2,2010,9,0.070066,0.085527,0.015461
They Came Together,Jun,27,2014,3,0,0.08278,0.08278
Fort McCoy,Aug,15,2014,3,0.078948,0.078948,0
Banshee Chapter,Jan,10,2014,0.95,0,0.078122,0.078122
Foodfight!,Dec,31,2012,45,0,0.073706,0.073706
Pump,Sep,19,2014,2,0.072277,0.072277,0
Stitches,Apr,1,2013,2,0,0.063555,0.063555
Creative Control,Mar,11,2016,1,0.063014,0.063014,0
The Canyons,Aug,2,2013,0.25,0.059671,0.062375,0.002704
Winnie Mandela,Sep,6,2013,15,0.061847,0.061847,0
Il conformista,Aug,29,2014,0.75,0.059656,0.059656,0
Cheap Thrills,Mar,21,2014,0.1,0.059424,0.059424,0
Beyond the Black Rainbow,May,18,2012,1.1,0.056491,0.056491,0
Rudderless,Oct,17,2014,5,0.056001,0.056001,0
Aloft,May,22,2015,8,0.053086,0.053086,0
The Perfect Host,Jul,1,2011,1,0.048764,0.051587,0.002823
Open Road,May,21,2013,3,0,0.047469,0.047469
Ca$h,Mar,26,2010,7,0.046488,0.046488,0
Lost River,Apr,7,2015,2,0.045431,0.045431,0
Defendor,Feb,19,2010,3.75,0.044462,0.044462,0
Water & Power,May,2,2014,0.6,0.042557,0.042557,0
Siakh lokhamim: ha'slilim ha'gnouzim,Nov,20,2015,0.45,0.04126,0.042503,0.001243
Down for Life,Jan,14,2011,3.8,0.041914,0.041914,0
The Opposite Sex,Jan,20,2015,3.3,0,0.040262,0.040262
3 Backyards,Mar,11,2011,0.3,0.039475,0.039475,0
Trudno byt bogom,Jan,30,2015,7,0.031443,0.035919,0.004476
Not Cool,Sep,19,2014,0.8,0.035688,0.035688,0
Underdogs,Aug,16,2013,2.5,0.035017,0.035017,0
Spoken Word,Jul,23,2010,4.5,0.032961,0.032961,0
Speak No Evil,Dec,31,2013,0.15,0,0.032927,0.032927
Black November,Jan,9,2015,7.5,0,0.032572,0.032572
Song One,Jan,23,2015,6,0.032251,0.032544,0.000293
L!fe Happens,Apr,13,2012,0.93,0.030905,0.030905,0
Happy Christmas,Jul,25,2014,0.07,0.030312,0.030312,0
Lumea e a mea,Dec,31,2015,0.168,0,0.029827,0.029827
Redemption Road,Aug,26,2011,2.3,0.029384,0.029384,0
Time to Choose,Jun,3,2016,3.5,0.029233,0.029233,0
Automata,Oct,10,2014,15,0,0.02905,0.02905
Plush,Sep,13,2013,2,0.00308,0.028864,0.025784
Salvation Boulevard,Jul,15,2011,5.5,0.028468,0.028468,0
Strangerland,Jul,10,2015,10,0.017472,0.028048,0.010576
Departure,Dec,31,2015,1.1,0,0.027561,0.027561
"Pink Ribbons, Inc.",Jun,1,2012,1.2,0.026608,0.026608,0
Griff the Invisible,Aug,19,2011,2.9,0.020778,0.025935,0.005157
The Exploding Girl,Mar,12,2010,0.04,0.025572,0.025572,0
R100,Jan,23,2015,5.5,0.024956,0.024956,0
The Past is a Grotesque Animal,Jun,19,2014,0.1,0.020056,0.020056,0
Test,Jun,6,2014,0.25,0.018823,0.018823,0
Karachi se Lahore,Dec,31,2015,1,0,0.017721,0.017721
Nothing But a Man,Nov,9,2012,0.3,0.017241,0.017241,0
The First Time,Oct,19,2012,2,0.017061,0.017061,0
Los insolitos peces gato,Jun,13,2014,1.3,0.011278,0.016653,0.005375
Hits,Feb,13,2015,1,0.015156,0.015156,0
Trade of Innocents,Oct,5,2012,5.8,0.015091,0.015091,0
10 Days in a Madhouse,Nov,11,2015,12,0.014616,0.014616,0
Don McKay,Apr,2,2010,6,0.013722,0.013722,0
Outside Bet,Feb,24,2015,7.5,0,0.013524,0.013524
As It Is in Heaven,Jul,11,2014,0.45,0.013486,0.013486,0
Forget Me Not,May,24,2011,1.3,0,0.013465,0.013465
Night Lights,Aug,15,2014,0.25,0.012848,0.012848,0
Vaalu,Dec,31,2015,1.9,0,0.012444,0.012444
The Loved Ones,Jun,1,2012,4,0,0.012302,0.012302
The Living Wake,May,14,2010,0.5,0.012232,0.012232,0
Hross i oss,Mar,13,2015,10,0.011894,0.011894,0
Falcon Rising,Sep,4,2014,4.5,0.011774,0.011774,0
16 to Life,Sep,3,2010,1,0.011574,0.011574,0
The Lovers,Mar,13,2015,35,0,0.011106,0.011106
Jerusalema,Jun,11,2010,2,0.007294,0.010679,0.003385
Circle,Aug,27,2010,2,0.010024,0.010024,0
Camp X-Ray,Oct,17,2014,1,0.009837,0.009837,0
Down Terrace,Oct,15,2010,0.03,0.009812,0.009812,0
Faith Connections,Sep,12,2014,0.55,0.009111,0.009111,0
Butterfly Girl,Feb,27,2015,0.18,0.008956,0.008956,0
Dawn of the Crescent Moon,Jul,17,2015,0.075,0.008799,0.008799,0
Absentia,Dec,31,2011,0.07,0,0.008555,0.008555
Julija in alfa Romeo,Dec,31,2015,0.56,0,0.008462,0.008462
Counting,Jul,31,2015,0.05,0.008374,0.008374,0
They Will Have to Kill Us First,Mar,4,2016,0.6,0,0.007943,0.007943
Certifiably Jonathan,Feb,11,2011,1.2,0.007826,0.007826,0
Area 51,May,15,2015,5,0.007556,0.007556,0
The Giant Mechanical Man,Apr,27,2012,0.9,0.007396,0.007396,0
Antarctic Edge: 70º South,Apr,17,2015,0.15,0.007193,0.007193,0
The Sisterhood of Night,Apr,10,2015,1,0.00687,0.00687,0
I Am Wrath,Apr,15,2016,18,0,0.006784,0.006784
Top Spin,Aug,21,2015,0.15,0.005858,0.005858,0
Tanner Hall,Sep,9,2011,3,0.005073,0.005073,0
Supporting Characters,Jan,25,2013,0.06,0.004917,0.004917,0
Newlyweds,Jan,13,2012,0.009,0.004584,0.004584,0
Inescapable,Feb,22,2013,4,0.004327,0.004327,0
La navaja de Don Juan,Sep,18,2015,1.2,0.004254,0.004254,0
The Harvest/La Cosecha,Jul,29,2011,0.56,0.003709,0.003709,0
The Word,Mar,14,2014,0.2,0.003648,0.003648,0
Raymond Did It,Feb,11,2011,0.04,0.003632,0.003632,0
Locker 13,Mar,28,2014,0.3,0.003496,0.003496,0
Broken Horses,Sep,1,2015,15,0,0.003471,0.003471
Mi America,Oct,16,2016,2.1,0.00333,0.00333,0
Drunk Wedding,May,22,2015,0.6,0.003301,0.003301,0
Windsor Drive,Aug,28,2015,0.85,0.003256,0.003256,0
Along the Roadside,Mar,24,2015,0.25,0,0.003234,0.003234
Tracker,Dec,31,2011,6.5,0,0.003149,0.003149
The Sleepwalker,Nov,21,2014,1.1,0.002636,0.002636,0
Sparrows Dance,Aug,23,2013,0.175,0.002602,0.002602,0
The Ghastly Love of Johnny X,Oct,26,2012,2,0.002436,0.002436,0
Backmask,Sep,1,2015,0.025,0,0.002322,0.002322
Veronika Decides to Die,Jan,20,2015,9,0,0.002243,0.002243
Yoga Hosers,Sep,2,2016,5,0,0.002199,0.002199
"Me, You and Five Bucks",Sep,28,2015,1.5,0.002105,0.002105,0
Born to Fly: Elizabeth Streb vs. Gravity,Sep,10,2014,0.5,0.001822,0.001822,0
Detention of the Dead,Jun,28,2013,0.5,0.001778,0.001778,0
The Looking Glass,Oct,23,2015,0.3,0.001711,0.001711,0
Eddie: The Sleepwalking Cannibal,Apr,5,2013,1.4,0.001632,0.001632,0
Skin Trade,May,8,2015,9,0.001242,0.001242,0
B-Girl,Jan,26,2010,0.7,0,0.00116,0.00116
Childless,May,15,2015,1,0.001036,0.001036,0
"To Be Frank, Sinatra at 100",Dec,31,2015,2,0,0.000926,0.000926
Perrier's Bounty,May,21,2010,6.6,0.000828,0.000828,0
Destiny,Dec,31,2014,0.75,0,0.00045,0.00045
Shinjuku Incident,Feb,5,2010,15,0,0,0
Psych 9,Dec,31,2010,5,0,0,0
Barry Munday,Oct,1,2010,3,0,0,0
Christmas Mail,Dec,31,2010,2.5,0,0,0
Lies in Plain Sight,Dec,31,2010,2.1,0,0,0
Lake Mungo,Mar,23,2010,1.1,0,0,0
Dead Undead The,Dec,31,2010,1.1,0,0,0
Zombies of Mass Destruction,Jan,29,2010,1,0,0,0
Drones,Dec,31,2010,0.5,0,0,0
Anderson's Cross,Dec,31,2010,0.3,0,0,0
Death Calls,Dec,31,2010,0.29,0,0,0
Rust,Oct,5,2010,0.25,0,0,0
The Christmas Bunny,Dec,31,2010,0.25,0,0,0
Butterfly,Dec,31,2010,0.25,0,0,0
Ultramarines,Feb,26,2011,8.9,0,0,0
A Shine of Rainbows,Mar,15,2011,6,0,0,0
Freaky Deaky,Dec,31,2011,6,0,0,0
The Hit List,May,10,2011,6,0,0,0
We Have Your Husband,Dec,31,2011,5,0,0,0
Without Men,Dec,31,2011,4.7,0,0,0
2:13,Jun,28,2011,3.5,0,0,0
Never Back Down 2: The Beatdown,Sep,13,2011,3,0,0,0
"Fat, Sick & Nearly Dead",Apr,1,2011,2.6,0,0,0
True Bromance,Dec,31,2011,2,0,0,0
The Lion of Judah,Jun,3,2011,1.5,0,0,0
Rock the House,Dec,31,2011,0.25,0,0,0
The Ridges,Nov,25,2011,0.0173,0,0,0
Womb,Mar,30,2012,13,0,0,0
Detention,Apr,13,2012,10,0,0,0
Should've Been Romeo,Dec,31,2012,5,0,0,0
Replicas,Nov,9,2012,4,0,0,0
The Helpers,Dec,31,2012,4,0,0,0
How to Fall in Love,Dec,31,2012,4,0,0,0
Infected,Dec,31,2012,2.1,0,0,0
The Legend of Hell's Gate: An American Conspiracy,Mar,30,2012,2,0,0,0
Highway,Dec,31,2012,2,0,0,0
Dysfunctional Friends,Feb,3,2012,1.8,0,0,0
Below Zero,Aug,28,2012,1.2,0,0,0
Crowsnest,Sep,7,2012,1.2,0,0,0
Airborne,Sep,14,2012,1.2,0,0,0
Snow White: A Deadly Summer,Mar,20,2012,1,0,0,0
Truth or Die,Oct,9,2012,1,0,0,0
Snitch,Dec,31,2012,0.85,0,0,0
After,Dec,31,2012,0.65,0,0,0
High Road,Mar,6,2012,0.546173,0,0,0
Enter Nowhere,Apr,3,2012,0.5,0,0,0
Girls Gone Dead,Jul,17,2012,0.5,0,0,0
El rey de Najayo,Dec,31,2012,0.5,0,0,0
Some Guy Who Kills People,Jul,3,2012,0.3,0,0,0
The Frozen,Dec,18,2012,0.25,0,0,0
Indie Game: The Movie,May,18,2012,0.1,0,0,0
The FP,Mar,16,2012,0.06,0,0,0
Hayride,Dec,31,2012,0.06,0,0,0
Out of Inferno,Dec,31,2013,19,0,0,0
Supesu Batorushippu Yamato,Oct,19,2013,12,0,0,0
Re-Kill,Dec,31,2013,9.5,0,0,0
A Haunting in Connecticut 2: The Ghosts of Georgia,Feb,1,2013,9,0,0,0
Hansel & Gretel Get Baked,Jun,25,2013,4.5,0,0,0
"Batman: The Dark Knight Returns, Part 2",Jan,29,2013,3.5,0,0,0
30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,Jan,15,2013,3,0,0,0
Alien Uprising,Jun,21,2013,2.5,0,0,0
Straight A's,Mar,19,2013,2,0,0,0
Small Apartments,Feb,8,2013,2,0,0,0
Coffee Town,Jul,9,2013,2,0,0,0
Independence Daysaster,Dec,31,2013,1.8,0,0,0
Living Dark: The Story of Ted the Caver,Dec,31,2013,1.75,0,0,0
The Wicked Within,Dec,31,2013,1.2,0,0,0
The Vatican Exorcisms,Dec,31,2013,1.1,0,0,0
Black Rock,May,14,2013,1,0,0,0
My Last Day Without You,Oct,4,2013,1,0,0,0
Zombie Hunter,Oct,8,2013,1,0,0,0
Treachery,Dec,31,2013,0.625,0,0,0
Bucky and the Squirrels,Dec,31,2013,0.5,0,0,0
Midnight Cabaret,Aug,7,2013,0.3,0,0,0
Aroused,May,3,2013,0.15,0,0,0
Echo Dr.,Dec,31,2013,0.1,0,0,0
The Dirties,Oct,4,2013,0.055,0,0,0
A True Story,Oct,25,2013,0.045,0,0,0
This Is Martin Bonner,Jun,21,2013,0.042,0,0,0
Her Cry: La Llorona Investigation,Oct,25,2013,0.035,0,0,0
Paraphobia,Dec,31,2013,0.03,0,0,0
All Superheroes Must Die,Jan,4,2013,0.02,0,0,0
The Adventurer: The Curse of the Midas Box,Jan,10,2014,25,0,0,0
Dwegons and Leprechauns,Aug,29,2014,20,0,0,0
The Prince,Aug,22,2014,18,0,0,0
Wolves,Nov,14,2014,18,0,0,0
Drive Hard,Oct,3,2014,12,0,0,0
Nurse 3D,Feb,7,2014,10,0,0,0
Swelter,Aug,12,2014,8,0,0,0
Henry & Me,Aug,18,2014,5,0,0,0
Dying of the Light,Dec,5,2014,5,0,0,0
Fugly,Nov,7,2014,4.5,0,0,0
The Perfect Wave,Jul,11,2014,4,0,0,0
In the Name of the King III,Mar,11,2014,3.5,0,0,0
Wicked Blood,Mar,4,2014,3.5,0,0,0
Point Blank,Jul,8,2014,3,0,0,0
Iguana,Oct,27,2014,3,0,0,0
Always Woodstock,Nov,14,2014,2.4,0,0,0
Lucky Dog,Dec,31,2014,2,0,0,0
A Funny Thing Happened on the Way to the Forum,Sep,9,2014,2,0,0,0
Against the Wild,Mar,11,2014,1.8,0,0,0
Once Upon a Time in Queens,Nov,11,2014,1.5,0,0,0
Kurmanjan datka,Dec,31,2014,1.4,0,0,0
House at the End of the Drive,Dec,31,2014,1.4,0,0,0
Cotton Comes to Harlem,Sep,9,2014,1.2,0,0,0
Hidden Away,Jan,7,2014,1,0,0,0
Doc Holliday's Revenge,Dec,31,2014,1,0,0,0
A Fine Step,Jun,24,2014,1,0,0,0
Bang Bang Baby,Dec,31,2014,1,0,0,0
Jesse,Aug,12,2014,0.95,0,0,0
Food Chains,Nov,21,2014,0.913,0,0,0
40 Weeks,Dec,31,2014,0.9,0,0,0
The Hadza: Last of the First,Dec,31,2014,0.65,0,0,0
The Maid's Room,Aug,8,2014,0.6,0,0,0
Light from the Darkroom,Dec,31,2014,0.6,0,0,0
America Is Still The Place,Dec,31,2014,0.5,0,0,0
Diamond Rufff,Dec,31,2014,0.5,0,0,0
Fight to the Finish,Dec,31,2014,0.5,0,0,0
The Sound and the Shadow,Dec,31,2014,0.5,0,0,0
Mutual Friends,Jul,1,2014,0.45,0,0,0
Rise Of the Entrepreneur - The Search For A Better Way,Dec,31,2014,0.45,0,0,0
Pancakes,Dec,31,2014,0.4,0,0,0
Jesus People,Apr,11,2014,0.25,0,0,0
Horse Camp,Dec,31,2014,0.25,0,0,0
Archaeology of a Woman,Sep,12,2014,0.2,0,0,0
Sanctuary; Quite a Conundrum,Aug,26,2014,0.2,0,0,0
H.,Dec,31,2014,0.2,0,0,0
An American in Hollywood,Jul,18,2014,0.125,0,0,0
"Dude, Where's My Dog",Dec,31,2014,0.1,0,0,0
The Image Revolution,Dec,31,2014,0.05,0,0,0
Happy 40th,Dec,31,2014,0.035,0,0,0
Dry Spell,Dec,31,2014,0.022,0,0,0
Stories of Our Lives,Dec,31,2014,0.015,0,0,0
The Ridiculous 6,Dec,11,2015,60,0,0,0
The Crow,Dec,31,2015,40,0,0,0
Freaks of Nature,Oct,30,2015,33,0,0,0
The Face of an Angel,Apr,24,2015,26,0,0,0
In Dubious Battle,Dec,31,2015,15,0,0,0
Dancin' It's On,Oct,30,2015,12,0,0,0
San cheng ji,Dec,31,2015,12,0,0,0
Into the Grizzly Maze,May,19,2015,10,0,0,0
American Heist,Jul,21,2015,10,0,0,0
Green Street Hooligans: Underground,Feb,24,2015,8,0,0,0
Henry Joseph Church,Dec,31,2015,8,0,0,0
Pound of Flesh,May,15,2015,7.5,0,0,0
Alpha & Omega: The Legend of the Saw Tooth Cave,Sep,1,2015,7,0,0,0
Born of War,Jan,27,2015,5,0,0,0
Let's Kill Ward's Wife,Jan,9,2015,5,0,0,0
Capricorn One,Jan,13,2015,5,0,0,0
Aztec Warrior,Dec,31,2015,5,0,0,0
Navy SEAL vs. Zombies,Sep,25,2015,5,0,0,0
Running Forever,Oct,27,2015,5,0,0,0
Treading Water,Mar,10,2015,4.7,0,0,0
Zipper,Aug,28,2015,4.5,0,0,0
R.L. Stine's Monsterville: The Cabinet of Souls,Sep,29,2015,4.4,0,0,0
The Veil,Dec,31,2015,4,0,0,0
Chain of Command,Sep,8,2015,4,0,0,0
Dawn Patrol,Jun,5,2015,3.5,0,0,0
Lords of London,Sep,1,2015,3.44,0,0,0
To Write Love On Her Arms,Mar,3,2015,3.4,0,0,0
AWOL-72,Dec,31,2015,3,0,0,0
Enter the Dangerous Mind,Feb,6,2015,3,0,0,0
Something Wicked,Mar,17,2015,3,0,0,0
Amnesiac,Aug,14,2015,3,0,0,0
Unnatural,Dec,31,2015,3,0,0,0
Close Range,Dec,11,2015,3,0,0,0
Stung,Jul,3,2015,2.5,0,0,0
8 Days,Oct,13,2015,2.5,0,0,0
The Toxic Avenger Part II,Apr,15,2015,2.3,0,0,0
The Timber,Oct,6,2015,2.1,0,0,0
The Lady from Shanghai,Mar,17,2015,2,0,0,0
The Walking Deceased,Mar,20,2015,2,0,0,0
Good Ol' Boy,Dec,31,2015,2,0,0,0
The Curse of Downers Grove,Aug,21,2015,2,0,0,0
Wind Walkers,Dec,31,2015,2,0,0,0
Shark Lake,Dec,1,2015,2,0,0,0
The Marine 4,Apr,21,2015,1.95,0,0,0
Beginners Guide to Sex,Oct,20,2015,1.8,0,0,0
Girlhouse,Feb,13,2015,1.5,0,0,0
Closer to the Moon,Apr,17,2015,1.5,0,0,0
Mutant World,May,26,2015,1.5,0,0,0
#Horror,Nov,20,2015,1.5,0,0,0
Checkmate,Sep,8,2015,1.5,0,0,0
One Shot,Dec,31,2015,1.4,0,0,0
The Algerian,Jun,26,2015,1.3,0,0,0
Da Sweet Blood of Jesus,Jan,13,2015,1.25,0,0,0
Bleeding Hearts,Feb,3,2015,1.2,0,0,0
Silent Running,Apr,7,2015,1.1,0,0,0
Fear Clinic,Feb,10,2015,1,0,0,0
The Pet,Mar,10,2015,1,0,0,0
The Horror Network,Oct,27,2015,1,0,0,0
American Hero,Dec,11,2015,1,0,0,0
Por amor en el caserio,Dec,22,2015,1,0,0,0
Ask Me Anything,Mar,3,2015,0.95,0,0,0
Le bonheur d'Elza,May,5,2015,0.9,0,0,0
Vessel,Jan,9,2015,0.8,0,0,0
Walter,Mar,13,2015,0.7,0,0,0
Irreplaceable,Feb,24,2015,0.6,0,0,0
The Outrageous Sophie Tucker,Jul,24,2015,0.5,0,0,0
Subconscious,Mar,10,2015,0.5,0,0,0
Roadside,Apr,14,2015,0.5,0,0,0
Love in the Time of Monsters,Feb,10,2015,0.5,0,0,0
Crossroads,Jun,23,2015,0.5,0,0,0
Alleluia! The Devil's Carnival,Aug,11,2015,0.5,0,0,0
Brooklyn Bizarre,Dec,1,2015,0.5,0,0,0
Rodeo Girl,Dec,31,2015,0.5,0,0,0
The Little Ponderosa Zoo,Nov,10,2015,0.5,0,0,0
Viskningar och rop,Mar,31,2015,0.4,0,0,0
Rotor DR1,Oct,20,2015,0.35,0,0,0
Teeth and Blood,Mar,10,2015,0.3,0,0,0
Walking to Paris,Dec,31,2015,0.3,0,0,0
Amidst the Devil's Wings,Dec,8,2015,0.3,0,0,0
UnDivided,Feb,3,2015,0.25,0,0,0
Give Me Shelter,Feb,24,2015,0.25,0,0,0
Shooting the Warwicks,Dec,31,2015,0.25,0,0,0
The Love Letter,Aug,18,2015,0.25,0,0,0
Western Religion,Oct,9,2015,0.25,0,0,0
11-Apr,Dec,31,2015,0.25,0,0,0
Theresa Is a Mother,Sep,29,2015,0.2,0,0,0
Perfect Cowboy,Nov,10,2015,0.2,0,0,0
Heroes of Dirt,Sep,4,2015,0.175,0,0,0
Escaping the Holocost,Dec,31,2015,0.15,0,0,0
The Brain That Sings,Aug,11,2015,0.125,0,0,0
Romantic Schemer,Dec,31,2015,0.125,0,0,0
Closure,Mar,17,2015,0.1,0,0,0
Lunchtime Heroes,Dec,31,2015,0.1,0,0,0
Open Secret,Mar,25,2015,0.1,0,0,0
The Night Visitor,Nov,10,2015,0.1,0,0,0
Tiger Orange,Jul,7,2015,0.1,0,0,0
Queen Crab,Sep,29,2015,0.075,0,0,0
The Brain That Wouldn't Die,Dec,22,2015,0.06,0,0,0
Bending Steel,Aug,4,2015,0.05,0,0,0
"Run, Hide, Die",Sep,1,2015,0.05,0,0,0
Ten,Apr,21,2015,0.025,0,0,0
Dutch Kills,Dec,1,2015,0.025,0,0,0
The Front Man,Apr,21,2015,0.02,0,0,0
Family Motocross,May,19,2015,0.01,0,0,0
Signed Sealed Delivered,Sep,29,2015,0.005,0,0,0
A Plague So Pleasant,Sep,29,2015,0.0014,0,0,0
Passengers,Dec,21,2016,150,0,0,0
Trolls,Nov,4,2016,120,0,0,0
Jack Reacher: Never Go Back,Oct,21,2016,96,0,0,0
Arrival,Nov,11,2016,50,0,0,0
The Girl on the Train,Oct,7,2016,45,0,0,0
Reagan,Dec,31,2016,25,0,0,0
The Butterfly God,Dec,31,2016,22,0,0,0
The History of Love,Dec,31,2016,20,0,0,0
Fight Valley,Jun,30,2016,20,0,0,0
Forsaken,Feb,19,2016,18,0,0,0
The Birth of a Nation,Oct,7,2016,10,0,0,0
Code of Honor,May,6,2016,8,0,0,0
A Street Cat Named Bob,Nov,18,2016,8,0,0,0
Two Lovers and a Bear,Dec,31,2016,6.84,0,0,0
The Hatching,Mar,15,2016,5,0,0,0
Antibirth,Sep,2,2016,2.5,0,0,0
The Rise of the Krays,Feb,2,2016,2.5,0,0,0
Eden,Jan,19,2016,2.3,0,0,0
Sharkskin,Jan,19,2016,2.1,0,0,0
The Wrong Side of Right,Jul,8,2016,2,0,0,0
1982,Mar,1,2016,1,0,0,0
Chemical Cut,Dec,31,2016,1,0,0,0
Adulterers,Jan,5,2016,0.75,0,0,0
Crabs!,Dec,31,2016,0.5,0,0,0
Une Femme Mariée,May,24,2016,0.12,0,0,0
